sensor,n,n_missing,missing_rate,n_zero,zero_rate,n_unique,mean,median,std,min,p01,p05,p95,p99,max,longest_nan_run,longest_zero_run,n_nan_runs,n_zero_runs,n_zero_runs_ge_1h,n_zero_runs_ge_6h,n_zero_runs_ge_1day,status
A129,13248,0,0.0,10491,0.7918931159420289,33,0.8672252415458938,0.0,2.6395876102740297,0.0,0.0,0.0,5.0,14.0,37.0,0,143,0,1034,258,94,0,usable
A093,13248,0,0.0,10277,0.7757397342995169,16,0.4913194444444444,0.0,1.200984779236213,0.0,0.0,0.0,3.0,5.0,17.0,0,114,0,1364,288,93,0,usable
A152,13248,0,0.0,10171,0.7677385265700483,37,0.9996980676328503,0.0,3.0060204655323135,0.0,0.0,0.0,6.0,16.0,42.0,0,107,0,1181,245,93,0,usable
A130,13248,0,0.0,9719,0.7336201690821256,62,1.5498188405797102,0.0,4.800646640324756,0.0,0.0,0.0,8.0,23.0,93.0,0,113,0,1278,222,95,0,usable
A121,13248,0,0.0,9684,0.7309782608695652,19,0.5259661835748792,0.0,1.1982180105930882,0.0,0.0,0.0,3.0,5.0,30.0,0,75,0,1687,277,91,0,usable
A115,13248,0,0.0,8538,0.6444746376811594,29,1.1616847826086956,0.0,2.4067679539731444,0.0,0.0,0.0,6.0,12.0,43.0,0,67,0,1698,248,80,0,usable
A138,13248,0,0.0,7549,0.5698218599033816,23,1.657457729468599,0.0,2.705794022759438,0.0,0.0,0.0,7.0,12.0,39.0,0,92,0,1157,182,88,0,usable
A114,13248,0,0.0,7526,0.5680857487922706,83,2.7099184782608696,0.0,6.821242097609879,0.0,0.0,0.0,12.0,34.0,119.0,0,69,0,1523,227,72,0,usable
A145,13248,0,0.0,7304,0.5513285024154589,14,1.1367753623188406,0.0,1.7133652179724088,0.0,0.0,0.0,5.0,7.0,18.0,0,73,0,1360,197,79,0,usable
A140,13248,0,0.0,7092,0.5353260869565217,39,2.3090277777777777,0.0,4.04622307969697,0.0,0.0,0.0,10.0,19.0,40.0,0,73,0,1141,187,83,0,usable
A105,13248,0,0.0,6579,0.49660326086956524,14,1.1793478260869565,1.0,1.5571901178969818,0.0,0.0,0.0,4.0,6.0,17.0,0,73,0,1317,189,72,0,usable
A058,13248,0,0.0,6458,0.48746980676328505,20,1.310084541062802,1.0,1.8499248199070335,0.0,0.0,0.0,5.0,8.0,21.0,0,56,0,1485,173,66,0,usable
A158,13248,0,0.0,5446,0.41108091787439616,51,4.538194444444445,2.0,6.078874844805668,0.0,0.0,0.0,16.0,25.0,62.0,0,130,0,904,161,49,0,usable
A153,13248,0,0.0,3891,0.29370471014492755,59,8.440896739130435,5.0,9.525861316965255,0.0,0.0,0.0,27.0,37.0,70.0,0,130,0,948,121,10,0,usable
A113,13248,0,0.0,1095,0.08265398550724638,46,7.9210446859903385,7.0,5.7451172499534495,0.0,0.0,0.0,18.0,23.0,54.0,0,9,0,623,61,0,0,usable
A134,13248,0,0.0,863,0.06514190821256038,90,21.837107487922705,20.0,16.54823483760664,0.0,0.0,0.0,50.0,61.0,109.0,0,7,0,510,8,0,0,usable
A090,13248,0,0.0,707,0.05336654589371981,192,32.796724033816425,28.0,29.752515307429466,0.0,0.0,0.0,82.0,114.53000000000065,356.0,0,11,0,440,8,0,0,usable
A176,13248,0,0.0,539,0.04068538647342995,505,118.2361865942029,83.0,111.37549321360838,0.0,0.0,2.0,329.0,418.0,664.0,0,6,0,394,2,0,0,usable
A127,13248,0,0.0,241,0.018191425120772948,103,34.00769927536232,33.0,24.01426505218034,0.0,0.0,2.0,70.0,78.0,138.0,0,4,0,211,0,0,0,usable
A026,13248,0,0.0,234,0.017663043478260868,301,131.72184480676327,138.0,84.84777464875195,0.0,0.0,7.0,248.0,269.53000000000065,314.0,0,141,0,12,2,2,0,usable
A149,13248,0,0.0,190,0.014341787439613526,291,94.96663647342996,87.5,70.04063635883553,0.0,0.0,5.0,211.64999999999964,245.0,327.0,0,3,0,168,0,0,0,usable
A178,13248,0,0.0,189,0.014266304347826086,223,82.609375,98.0,48.10961471450413,0.0,0.0,6.0,147.0,173.0,351.0,0,30,0,66,6,0,0,usable
A059,13248,0,0.0,154,0.0116243961352657,248,102.38564311594203,102.0,65.78722054284765,0.0,0.0,8.0,199.0,216.53000000000065,298.0,0,130,0,23,1,1,0,usable
A028,13248,0,0.0,145,0.010945048309178744,320,122.1400211352657,116.0,85.13036786029674,0.0,0.0,9.0,250.0,273.0,505.0,0,123,0,4,3,1,0,usable
A101,13248,0,0.0,140,0.010567632850241546,366,130.7355072463768,134.0,88.65151468469811,0.0,0.0,10.0,273.0,315.0,411.0,0,130,0,10,1,1,0,usable
A030,13248,0,0.0,132,0.009963768115942028,353,134.76939915458937,126.0,96.52300481908598,0.0,1.0,9.0,280.0,314.0,367.0,0,130,0,3,1,1,0,usable
A162,13248,0,0.0,132,0.009963768115942028,1041,242.89356884057972,208.0,211.80468853119726,0.0,1.0,18.0,731.0,1015.0,1391.0,0,117,0,7,2,1,0,usable
A108,13248,0,0.0,119,0.008982487922705314,103,34.0294384057971,36.0,22.322181807246057,0.0,1.0,2.0,66.0,76.0,110.0,0,3,0,111,0,0,0,usable
A055,13248,0,0.0,107,0.008076690821256038,159,53.20705012077295,51.0,38.7053868635786,0.0,1.0,3.0,113.0,128.0,179.0,0,3,0,100,0,0,0,usable
A056,13248,0,0.0,107,0.008076690821256038,356,121.49894323671498,121.0,88.13304277652331,0.0,2.0,6.0,254.0,300.0,396.0,0,3,0,99,0,0,0,usable
A053,13248,0,0.0,101,0.007623792270531401,194,64.66508152173913,66.0,44.97914681410716,0.0,1.0,3.0,131.0,150.0,303.0,0,2,0,92,0,0,0,usable
A077,13248,0,0.0,73,0.005510265700483092,117,33.30880132850242,32.0,23.28304589171495,0.0,1.0,2.0,71.0,87.0,146.0,0,2,0,71,0,0,0,usable
A052,13248,0,0.0,69,0.005208333333333333,378,124.20750301932367,123.0,89.44534748956617,0.0,2.0,7.0,264.0,311.0,506.0,0,2,0,65,0,0,0,usable
A065,13248,0,0.0,64,0.004830917874396135,367,129.6183574879227,120.0,97.2372495064903,0.0,2.0,6.0,275.0,311.0,480.0,0,3,0,55,0,0,0,usable
A107,13248,0,0.0,63,0.004755434782608696,402,126.27717391304348,112.0,98.25455353191278,0.0,2.0,6.0,294.0,343.0,443.0,0,11,0,50,1,0,0,usable
A116,13248,0,0.0,58,0.004378019323671498,282,106.21641002415458,107.0,73.95471355303707,0.0,1.0,5.0,211.0,239.0,313.0,0,2,0,56,0,0,0,usable
A102,13248,0,0.0,56,0.004227053140096618,218,69.53336352657004,61.0,54.53748876213685,0.0,1.0,3.0,162.64999999999964,185.0,298.0,0,9,0,43,1,0,0,usable
A086,13248,0,0.0,54,0.004076086956521739,2604,857.2757397342995,507.0,772.1722550858236,0.0,37.47,150.0,2646.0,2937.5300000000007,3064.0,0,54,0,1,1,1,0,usable
A066,13248,0,0.0,51,0.0038496376811594205,1577,384.5939009661836,282.0,377.6191118612477,0.0,4.0,15.0,1161.0,1704.5300000000007,2887.0,0,2,0,49,0,0,0,usable
A054,13248,0,0.0,50,0.0037741545893719805,259,85.79136473429952,87.0,59.23919608794536,0.0,2.0,5.0,173.0,205.0,483.0,0,2,0,48,0,0,0,usable
A172,13248,0,0.0,47,0.003547705314009662,268,94.78638285024155,101.0,62.13385265753489,0.0,2.0,7.0,186.0,219.53000000000065,910.0,0,2,0,46,0,0,0,usable
A073,13248,0,0.0,44,0.003321256038647343,248,85.39870169082126,81.0,62.40034679845019,0.0,1.0,5.0,181.0,205.0,357.0,0,3,0,40,0,0,0,usable
A061,13248,0,0.0,44,0.003321256038647343,481,176.89296497584542,173.0,120.91563064948075,0.0,4.0,12.0,369.0,411.0,1166.0,0,2,0,41,0,0,0,usable
A183,13248,0,0.0,42,0.003170289855072464,283,112.46127717391305,113.0,79.43410106754918,0.0,2.0,6.0,229.0,253.0,293.0,0,2,0,40,0,0,0,usable
A184,13248,0,0.0,39,0.002943840579710145,476,162.2024456521739,164.0,112.26954101970887,0.0,4.0,11.0,325.0,383.0600000000013,718.0,0,5,0,34,0,0,0,usable
A050,13248,0,0.0,34,0.002566425120772947,1391,291.1224335748792,206.0,460.8092149572016,0.0,4.0,13.0,905.0,2692.5300000000007,4644.0,0,2,0,29,0,0,0,usable
A179,13248,0,0.0,32,0.0024154589371980675,389,142.55517814009661,137.0,104.27046060529831,0.0,2.0,6.0,310.0,348.53000000000065,423.0,0,2,0,31,0,0,0,usable
A087,13248,0,0.0,30,0.0022644927536231885,450,161.66923309178745,146.0,117.77173736809736,0.0,3.0,10.0,357.64999999999964,407.53000000000065,634.0,0,9,0,19,1,0,0,usable
A082,13248,0,0.0,30,0.0022644927536231885,227,68.8161231884058,72.0,46.480060455378116,0.0,1.0,4.0,137.0,168.0,300.0,0,1,0,30,0,0,0,usable
A174,13248,0,0.0,29,0.002189009661835749,276,93.47063707729468,91.0,63.85796272567913,0.0,4.0,8.0,197.0,229.0,1254.0,0,3,0,26,0,0,0,usable
A068,13248,0,0.0,25,0.0018870772946859903,149,57.772644927536234,66.0,35.68285778971319,0.0,2.0,5.0,104.0,119.0,890.0,0,1,0,25,0,0,0,usable
A032,13248,0,0.0,23,0.001736111111111111,724,316.5738979468599,321.0,211.26124390636215,0.0,13.0,24.0,624.0,674.0,769.0,0,22,0,2,1,0,0,usable
A071,13248,0,0.0,22,0.0016606280193236715,471,195.83212560386474,206.0,130.5922843459057,0.0,4.0,11.0,383.0,420.0,542.0,0,2,0,21,0,0,0,usable
A037,13248,0,0.0,21,0.001585144927536232,546,266.08506944444446,301.0,154.98720244807168,0.0,13.0,27.0,460.0,498.0,602.0,0,5,0,10,0,0,0,usable
A072,13248,0,0.0,20,0.0015096618357487923,230,89.7121829710145,95.0,56.925897695727585,0.0,3.0,7.0,171.0,190.0,280.0,0,1,0,20,0,0,0,usable
A151,13248,0,0.0,19,0.0014341787439613527,162,60.37341485507246,65.0,35.23023489771658,0.0,3.0,6.0,109.0,122.0,202.0,0,6,0,12,1,0,0,usable
A064,13248,0,0.0,18,0.001358695652173913,388,135.18138586956522,144.0,94.2449451960519,0.0,3.0,9.0,258.0,297.0,2871.0,0,1,0,18,0,0,0,usable
